Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2021-04-06,2121.34,2122.59,2162.4,2043.84,2103.58,738754.0,16.93
2021-04-07,1987.84,1987.85,2130.75,1930.0,2121.34,904413.0,-133.5
2021-04-08,2053.99,2054.0,2080.01,1947.41,1987.84,554185.0,66.15
2021-04-09,2070.75,2071.1,2106.75,2043.0,2053.99,1499959.0,16.76
2021-04-10,2093.43,2095.67,2195.7,2055.21,2070.75,1499959.0,22.68
2021-04-11,2146.5,2147.58,2162.65,2081.63,2093.49,1499959.0,53.07
2021-04-12,2143.71,2145.06,2209.75,2100.69,2149.0,940413.0,-2.79
2021-04-13,2302.07,2302.14,2320.05,2134.64,2143.7,923624.0,158.36
2021-04-14,2369.29,2370.86,2412.25,2259.52,2302.39,1078615.0,67.22
2021-04-15,2501.99,2503.39,2504.77,2366.67,2369.29,1011868.0,132.7
2021-04-16,2459.95,2460.46,2551.85,2301.5,2500.73,1330989.0,-42.04
2021-04-17,2392.52,2392.53,2499.95,2315.0,2460.6,1330989.0,-67.43
2021-04-18,2171.71,2172.07,2398.95,1954.75,2392.53,1330989.0,-220.81
2021-04-19,2207.76,2208.6,2284.95,2079.51,2171.12,1374447.0,36.05
2021-04-20,2306.38,2307.81,2339.8,2053.71,2208.15,1889467.0,98.62
2021-04-21,2403.82,2404.65,2472.2,2237.75,2306.75,1421350.0,97.44
2021-04-22,2407.65,2407.7,2645.75,2315.4,2403.19,1779055.0,3.83
2021-04-23,2322.19,2323.53,2453.95,2108.0,2397.49,780765.0,-85.46
2021-04-24,2295.92,2296.84,2375.45,2157.61,2322.19,780765.0,-26.27
2021-04-25,2327.26,2328.14,2362.2,2166.0,2295.69,780765.0,31.34
2021-04-26,2458.53,2459.42,2537.6,2171.47,2299.85,1303859.0,131.27
2021-04-27,2647.15,2648.28,2687.95,2428.0,2458.53,999382.0,188.62
2021-04-28,2706.45,2707.73,2754.75,2560.87,2648.46,1104625.0,59.3
2021-04-29,2708.51,2710.16,2802.45,2671.33,2706.44,876527.0,2.06
