Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2017-07-15,1970.51,1973.49,2219.55,1966.42,2209.43,44609.0,-238.92
2017-07-16,1917.61,1924.86,2042.99,1830.0,1970.51,36980.0,-52.9
2017-07-17,2226.0,2226.42,2226.52,1910.45,1917.64,38585.0,308.39
2017-07-18,2303.66,2308.78,2391.51,2164.0,2226.0,38856.0,77.66
2017-07-19,2265.02,2269.0,2402.36,2223.0,2303.71,34345.0,-38.64
2017-07-20,2702.24,2703.67,2702.24,2265.48,2265.48,33628.0,437.22
2017-07-21,2667.01,2670.93,2880.56,2611.39,2875.03,36644.0,-35.23
2017-07-22,2824.8,2832.71,2880.7,2644.5,2667.01,36525.0,157.79
2017-07-23,2749.01,2756.99,2854.98,2640.16,2824.81,31920.0,-75.79
2017-07-24,2754.53,2759.98,2799.99,2701.0,2749.01,35673.0,5.52
2017-07-25,2556.99,2564.79,2775.05,2450.0,2754.53,31342.0,-197.54
2017-07-26,2524.94,2524.99,2607.61,2400.0,2563.96,40641.0,-32.05
2017-07-27,2664.67,2666.33,2692.0,2508.39,2524.9,35467.0,139.73
2017-07-28,2777.01,2783.8,2823.97,2655.19,2660.77,33499.0,112.34
2017-07-29,2666.61,2680.56,2785.65,2631.78,2777.03,30059.0,-110.4
2017-07-30,2740.01,2745.76,2765.35,2569.69,2666.62,28213.0,73.4
2017-07-31,2851.87,2855.81,2889.5,2680.0,2740.05,40868.0,111.86
2017-08-01,2731.0,2732.0,2928.96,2615.0,2851.86,36543.0,-120.87
2017-08-02,2703.48,2706.0,2760.0,2650.0,2731.0,34024.0,-27.52
2017-08-03,2790.01,2793.3,2806.89,2698.73,2703.51,31180.0,86.53
2017-08-04,2851.01,2854.99,2877.52,2765.42,2790.0,38441.0,61.0
2017-08-05,3251.29,3263.51,3335.61,2848.1,2851.01,32154.0,400.28
2017-08-06,3216.74,3222.0,3296.51,3146.16,3251.61,30075.0,-34.55
2017-08-07,3383.04,3387.55,3427.52,3186.0,3216.78,38868.0,166.3
2017-08-08,3408.46,3414.25,3488.92,3310.0,3383.06,44562.0,25.42
2017-08-09,3342.99,3343.0,3422.0,3182.05,3408.46,41358.0,-65.47
2017-08-10,3410.0,3419.04,3447.98,3311.17,3342.99,38335.0,67.01
2017-08-11,3638.02,3651.79,3702.9,3390.09,3410.0,33111.0,228.02
2017-08-12,3855.38,3864.78,3933.0,3586.97,3638.03,27441.0,217.36
2017-08-13,4046.6,4053.87,4190.0,3841.71,3855.38,33597.0,191.22
2017-08-14,4079.36,4079.37,4085.09,4037.4,4050.3,36014.0,32.76
2017-08-15,4152.01,4155.7,4399.98,3802.02,4308.32,39460.0,72.65
2017-08-16,4361.93,4378.81,4378.97,3926.0,4152.0,42893.0,209.92
2017-08-17,4260.38,4280.56,4475.02,4168.51,4361.94,40516.0,-101.55
2017-08-18,4099.67,4100.0,4365.72,3964.96,4260.45,47878.0,-160.71
2017-08-19,4091.99,4099.55,4187.99,3901.5,4098.47,36952.0,-7.68
2017-08-20,4040.0,4058.7,4124.0,4000.0,4091.99,39379.0,-51.99
2017-08-21,3987.52,3993.23,4080.0,3949.78,4040.0,36471.0,-52.48
2017-08-22,4078.0,4089.22,4137.84,3600.0,3987.51,49240.0,90.48
2017-08-23,4120.97,4121.78,4248.7,4051.88,4077.99,45641.0,42.97
2017-08-24,4299.96,4308.8,4349.99,4082.57,4120.97,44812.0,178.99
2017-08-25,4348.16,4355.98,4449.88,4270.01,4299.96,48984.0,48.2
2017-08-26,4329.7,4333.38,4369.77,4233.6,4348.16,45778.0,-18.46
2017-08-27,4329.9,4337.66,4391.01,4290.32,4329.71,39591.0,0.2
2017-08-28,4379.98,4385.0,4399.0,4169.0,4329.9,31469.0,50.08
2017-08-29,4576.67,4578.82,4647.5,4335.05,4379.99,45479.0,196.69
2017-08-30,4566.77,4573.21,4642.19,4478.02,4576.68,44471.0,-9.9
2017-08-31,4724.87,4734.26,4765.2,4566.66,4566.78,43606.0,158.1
2017-09-01,4921.7,4921.8,4930.0,4671.09,4724.96,47701.0,196.83
2017-09-02,4597.7,4599.9,4979.89,4488.5,4921.7,42781.0,-324.0
2017-09-03,4594.23,4606.26,4699.99,4385.0,4599.89,32188.0,-3.47
2017-09-04,4474.59,4493.81,4610.66,4466.05,4594.24,39691.0,-119.64
2017-09-05,4388.9,4397.75,4473.52,4001.93,4277.0,39324.0,-85.69
2017-09-06,4592.37,4605.8,4648.73,4356.42,4388.9,42580.0,203.47
2017-09-07,4606.62,4614.99,4674.0,4475.0,4592.43,44453.0,14.25
2017-09-08,4312.01,4327.61,4679.95,4125.99,4606.62,51851.0,-294.61
2017-09-09,4307.76,4322.48,4379.77,4164.0,4312.01,48417.0,-4.25
2017-09-10,4214.69,4226.22,4317.13,4010.0,4307.79,42965.0,-93.07
2017-09-11,4198.17,4207.34,4349.0,4092.4,4218.46,52038.0,-16.52
2017-09-12,4162.02,4172.37,4376.0,4080.0,4198.77,52396.0,-36.15
2017-09-13,3850.88,3861.9,4171.91,3720.01,4162.02,45117.0,-311.14
2017-09-14,3227.79,3236.33,3921.74,3210.0,3850.9,47677.0,-623.09
2017-09-15,3696.3,3700.0,3819.96,2972.0,3227.79,45297.0,468.51
2017-09-16,3669.06,3681.58,3872.88,3502.5,3699.89,38586.0,-27.24
2017-09-17,3656.59,3660.0,3770.73,3463.0,3669.06,32077.0,-12.47
2017-09-18,4006.0,4007.85,4099.99,3646.23,3738.89,57688.0,349.41
2017-09-19,3899.0,3900.0,4122.52,3847.65,4002.37,55575.0,-107.0
2017-09-20,3955.41,3958.53,4049.0,3820.05,3898.03,58948.0,56.41
