Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
08-Jun-2016,582.06,583.06,583.70,571.86,576.04,"20,462",+6.05
07-Jun-2016,576.01,577.52,594.25,562.89,584.12,"28,277",-8.04
06-Jun-2016,584.05,584.50,586.00,573.02,573.02,"13,191",+11.03
05-Jun-2016,573.02,573.42,581.98,566.02,571.56,"8,765",+1.51
04-Jun-2016,571.51,573.50,588.68,560.04,568.11,"9,097",+3.40
03-Jun-2016,568.11,569.90,578.00,535.91,537.99,"9,734",+30.12
02-Jun-2016,537.99,538.00,539.95,530.71,535.61,"8,833",+2.61
01-Jun-2016,535.38,536.95,542.82,525.49,531.84,"8,502",+3.54
31-May-2016,531.84,532.47,548.23,520.00,525.77,"8,269",+4.63
30-May-2016,527.21,527.98,534.65,510.02,516.81,"9,041",+10.40
29-May-2016,516.81,517.84,539.51,490.00,519.09,"7,335",-2.61
28-May-2016,519.42,523.03,525.68,468.00,470.58,"8,422",+47.99
27-May-2016,471.43,471.90,477.50,452.17,452.38,"8,600",+19.41
26-May-2016,452.02,452.38,452.85,446.80,448.27,"9,274",+3.58
25-May-2016,448.44,448.70,449.59,443.92,443.99,"9,515",+4.39
24-May-2016,444.05,445.23,446.37,441.44,442.63,"9,056",+1.39
23-May-2016,442.66,442.99,442.97,436.01,436.41,"10,389",+6.34
22-May-2016,436.32,438.80,443.36,435.96,442.70,"7,504",-6.38
21-May-2016,442.70,443.24,443.87,435.30,442.24,"8,465",+0.46
20-May-2016,442.24,442.84,444.32,435.06,435.83,"8,709",+6.41
19-May-2016,435.83,436.31,453.63,435.04,452.18,"8,570",-16.33
18-May-2016,452.16,452.88,455.40,452.00,452.13,"10,020",+0.03
17-May-2016,452.13,453.08,455.97,452.00,454.00,"9,189",-1.87
16-May-2016,454.00,454.16,457.98,451.40,457.56,"9,432",-2.90
15-May-2016,456.90,457.56,458.03,454.50,455.58,"9,814",+1.30
14-May-2016,455.60,456.30,457.12,453.51,455.87,"10,588",-0.25
13-May-2016,455.85,456.44,456.82,452.02,454.09,"10,065",+1.38
12-May-2016,454.47,455.20,455.08,448.88,452.44,"9,221",+2.01
11-May-2016,452.46,452.93,456.00,450.20,450.34,"8,728",+1.58
10-May-2016,450.88,451.59,462.37,447.38,460.84,"9,778",-9.91
09-May-2016,460.79,461.49,463.76,455.70,457.73,"9,479",+3.08
08-May-2016,457.71,458.21,459.59,455.95,458.07,"7,283",-0.24
07-May-2016,457.95,459.05,460.83,456.21,458.98,"8,834",-0.56
06-May-2016,458.51,458.98,463.64,447.00,448.50,"9,903",+10.01
